M_CLIENT_NAME,M_TIMESTAMP,S_SPEED_X,S_SPEED_Y,S_SPEED_Z,S_RPM,S_GEAR,S_ANGLE,S_Z,S_DAMAGE,S_TRACK_POSITION,S_RACE_POSITION,S_DISTANCE_RACED,S_DISTANCE_FROM_START,S_CURRENT_LAPTIME,S_LAST_LAPTIME,A_ACCELERATION,A_BRAKE,A_GEAR,A_STEER,A_CLUTCH
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.302,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.282,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.262,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.242,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.222,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.202,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.182,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.162,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.142,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.122,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.102,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.082,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.062,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.042,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.092262,0.026604,-0.00586,9583,0,0.003973,0.339813,0,-0.334175,1,0,2562.52002,-0.022,0,1,0,1,0.466716,0
SCR-CLIENT-CPP,+,-0.120621,-0.047085,-0.006601,9583,0,0.004345,0.339812,0,-0.334236,1,-0.000732,2562.52002,0.018,0,1,0,1,0.467814,0
SCR-CLIENT-CPP,+,0.070187,-0.01108,-0.002784,1063,1,0.004345,0.339768,0,-0.334266,1,-0.000488,2562.52002,0.038,0,1,0,1,0.467856,0
